,N,P
416,70,3.270131624219744
417,70,3.2702120557536856
418,70,3.2701601448067747
419,70,3.2700888540423234
420,75,3.2701477220280033
421,75,3.270127488837986
422,75,3.2701951723894367
423,75,3.270186353033405
424,75,3.2701210386320336
425,75,3.270393300647708
426,75,3.2700905407541883
427,75,3.2702732068706357
428,75,3.2701045850220476
429,75,3.2702081138516244
430,75,3.2702603352139517
431,75,3.2703761837719227
432,75,3.2702251537160514
433,75,3.2701643104475346
434,75,3.270385277548248
435,75,3.2701601448067747
436,75,3.2701692897723453
437,75,3.270102459502222
438,75,3.2701224269920983
439,75,3.2702251537160514
440,75,3.2702088496004458
441,75,3.2701058832366874
442,75,3.2702251537160514
443,75,3.2704305252481825
444,75,3.2701953891048605
445,75,3.2702435242915224
446,75,3.2701831074016137
447,75,3.2702396775079694
448,75,3.2702638498986487
449,75,3.2702210554162408
450,80,3.270286078628645
451,80,3.270101732206111
452,80,3.2701035926712914
453,80,3.2703638391822074
454,80,3.2702737889430975
455,80,3.270311822448645
456,80,3.2701346202220964
457,80,3.270117648767988
458,80,3.270263287537279
459,80,3.2701475532714754
460,80,3.270182432125367
461,80,3.269640089185755
462,80,3.270389756119027
463,80,3.2702603352139517
464,80,3.2702083461870304
465,80,3.2701601448067747
466,80,3.2698367140670355
467,80,3.2701306052341224
468,80,3.2702408256264794
469,80,3.2701992519168392
470,80,3.270333519259112
471,80,3.2703544959749116
472,80,3.2701558057630304
473,80,3.2701951723894367
474,80,3.2702461150472524
475,80,3.270251021349341
476,80,3.2701951723894367
477,80,3.2702603352139517
478,80,3.2704405476285743
479,80,3.270070743553524
480,85,3.27013403271408
481,85,3.2702345922045546
482,85,3.2701831074016137
483,85,3.2701058832366874
484,85,3.270242477501279
485,85,3.2702474636585914
486,85,3.2704511123203517
487,85,3.2703077966224336
488,85,3.2702603352139517
489,85,3.2702562780836884
490,85,3.2703803656544563
491,85,3.270178192066042
492,85,3.270067272521924
493,85,3.2701734196771284
494,85,3.270186353033405
495,85,3.2699622435841103
496,85,3.2701661245465683
497,85,3.269713855962322
498,85,3.2702474636585914
499,85,3.2702088496004458
500,85,3.270286078628645
501,85,3.270545266366577
502,85,3.270151282968541
503,85,3.2702081138516244
504,85,3.270313878189703
505,85,3.27021999491846
506,85,3.2701434075649574
507,85,3.270276889391862
508,85,3.270282022364907
509,85,3.2701688910944675
510,90,3.2701953891048605
511,90,3.270340266608008
512,90,3.27001047964108
513,90,3.2702345922045546
514,90,3.2704405476285743
515,90,3.2701992864919838
516,90,3.270286078628645
517,90,3.2703027578436243
518,90,3.270007814617957
519,90,3.2702639553194466
520,90,3.2701884907965733
521,90,3.2702345922045546
522,90,3.2702949168355717
523,90,3.2702731331380552
524,90,3.270170236454174
525,90,3.270165335404169
526,90,3.2701783002108162
527,90,3.2700699565096345
528,90,3.270251021349341
529,90,3.2703504389386153
530,90,3.2702860908363043
531,90,3.270238087481543
532,90,3.2700930128971244
533,90,3.2700745846359403
534,90,3.2701009596620274
535,90,3.270113208955281
536,90,3.2702088496004458
537,90,3.2702728226990265
538,90,3.2697945871962877
539,90,3.2700745846359403
540,95,3.269857231533235
541,95,3.270389056340578
542,95,3.2702639553194466
543,95,3.270251021349341
544,95,3.270298950487981
545,95,3.270251021349341
546,95,3.2702355581918825
547,95,3.2702774689430743
548,95,3.270506387418206
549,95,3.2700888540423234
550,95,3.2701959784503707
551,95,3.270234260659401
552,95,3.2700461541061365
553,95,3.270101732206111
554,95,3.270170236454174
555,95,3.2701600399802717
556,95,3.2701532458756035
557,95,3.2701573656080494
558,95,3.27020834618703
559,95,3.269903506743205
560,95,3.2706565721601684
561,95,3.2702250599555933
562,95,3.2702732068706357
563,95,3.270273716782528
564,95,3.270170236454174
565,95,3.27026407318187
566,95,3.270298950487981
567,95,3.270324694510638
568,95,3.2703120065408555
569,95,3.270442849907272
