,N,Filter,phase,mag,kind,phase bin
0,5,I,0.0,12.528119031207435,slow,0.0245
1,5,I,0.001001001001001001,12.529190214799883,slow,0.0245
2,5,I,0.002002002002002002,12.53025654779199,slow,0.0245
3,5,I,0.003003003003003003,12.531317988002433,slow,0.0245
4,5,I,0.004004004004004004,12.532374493443438,slow,0.0245
5,5,I,0.005005005005005005,12.533426022322434,slow,0.0245
6,5,I,0.006006006006006006,12.534472533043715,slow,0.0245
7,5,I,0.007007007007007006,12.535513984210075,slow,0.0245
8,5,I,0.008008008008008008,12.536550334624451,slow,0.0245
9,5,I,0.009009009009009009,12.537581543291557,slow,0.0245
10,5,I,0.01001001001001001,12.538607569419497,slow,0.0245
11,5,I,0.011011011011011011,12.539628372421383,slow,0.0245
12,5,I,0.012012012012012012,12.54064391191694,slow,0.0245
13,5,I,0.013013013013013013,12.541654147734103,slow,0.0245
14,5,I,0.014014014014014012,12.54265903991061,slow,0.0245
15,5,I,0.015015015015015015,12.543658548695575,slow,0.0245
16,5,I,0.016016016016016016,12.544652634551067,slow,0.0245
17,5,I,0.01701701701701702,12.54564125815367,slow,0.0245
18,5,I,0.018018018018018018,12.546624380396045,slow,0.0245
19,5,I,0.019019019019019017,12.547601962388466,slow,0.0245
20,5,I,0.02002002002002002,12.548573965460369,slow,0.0245
21,5,I,0.021021021021021023,12.549540351161873,slow,0.0245
22,5,I,0.022022022022022022,12.550501081265313,slow,0.0245
23,5,I,0.023023023023023025,12.551456117766739,slow,0.0245
24,5,I,0.024024024024024024,12.552405422887421,slow,0.0245
25,5,I,0.025025025025025023,12.55334895907536,slow,0.0245
26,5,I,0.026026026026026026,12.554286689006744,slow,0.0245
27,5,I,0.027027027027027025,12.555218575587459,slow,0.0245
28,5,I,0.028028028028028024,12.556144581954522,slow,0.0245
29,5,I,0.02902902902902903,12.557064671477567,slow,0.0245
30,5,I,0.03003003003003003,12.557978807760279,slow,0.0245
31,5,I,0.031031031031031032,12.558886954641837,slow,0.0245
32,5,I,0.03203203203203203,12.559789076198346,slow,0.0245
33,5,I,0.03303303303303303,12.560685136744254,slow,0.0245
34,5,I,0.03403403403403404,12.561575100833775,slow,0.0245
35,5,I,0.035035035035035036,12.56245893326227,slow,0.0245
36,5,I,0.036036036036036036,12.563336599067663,slow,0.0245
37,5,I,0.037037037037037035,12.564208063531808,slow,0.0245
38,5,I,0.038038038038038034,12.56507329218187,slow,0.0245
39,5,I,0.03903903903903904,12.565932250791684,slow,0.0245
40,5,I,0.04004004004004004,12.566784905383114,slow,0.0245
41,5,I,0.04104104104104104,12.567631222227394,slow,0.0245
42,5,I,0.042042042042042045,12.568471167846461,slow,0.0245
43,5,I,0.043043043043043044,12.56930470901428,slow,0.0245
44,5,I,0.044044044044044044,12.570131812758165,slow,0.0245
45,5,I,0.04504504504504504,12.570952446360067,slow,0.0245
46,5,I,0.04604604604604605,12.571766577357891,slow,0.0245
47,5,I,0.04704704704704704,12.572574173546759,slow,0.0245
48,5,I,0.04804804804804805,12.573375202980294,slow,0.0245
49,5,I,0.04904904904904905,12.574169633971886,slow,0.0245
50,5,I,0.050050050050050046,12.574957435095943,slow,0.07500000000000001
51,5,I,0.05105105105105105,12.575738575189126,slow,0.07500000000000001
52,5,I,0.05205205205205205,12.576513023351595,slow,0.07500000000000001
53,5,I,0.05305305305305305,12.57728074894822,slow,0.07500000000000001
54,5,I,0.05405405405405405,12.578041721609807,slow,0.07500000000000001
55,5,I,0.055055055055055056,12.578795911234282,slow,0.07500000000000001
56,5,I,0.05605605605605605,12.57954328798789,slow,0.07500000000000001
57,5,I,0.057057057057057055,12.580283822306383,slow,0.07500000000000001
58,5,I,0.05805805805805806,12.58101748489617,slow,0.07500000000000001
59,5,I,0.05905905905905906,12.581744246735498,slow,0.07500000000000001
60,5,I,0.06006006006006006,12.582464079075585,slow,0.07500000000000001
61,5,I,0.06106106106106106,12.583176953441761,slow,0.07500000000000001
62,5,I,0.062062062062062065,12.583882841634596,slow,0.07500000000000001
63,5,I,0.06306306306306306,12.584581715731016,slow,0.07500000000000001
64,5,I,0.06406406406406406,12.585273548085405,slow,0.07500000000000001
65,5,I,0.06506506506506507,12.5859583113307,slow,0.07500000000000001
66,5,I,0.06606606606606606,12.58663597837947,slow,0.07500000000000001
67,5,I,0.06706706706706707,12.587306522424997,slow,0.07500000000000001
68,5,I,0.06806806806806807,12.587969916942326,slow,0.07500000000000001
69,5,I,0.06906906906906907,12.588626135689319,slow,0.07500000000000001
70,5,I,0.07007007007007007,12.589275152707692,slow,0.07500000000000001
71,5,I,0.07107107107107107,12.589916942324047,slow,0.07500000000000001
72,5,I,0.07207207207207207,12.590551479150877,slow,0.07500000000000001
73,5,I,0.07307307307307306,12.59117873808758,slow,0.07500000000000001
74,5,I,0.07407407407407407,12.591798694321444,slow,0.07500000000000001
75,5,I,0.07507507507507508,12.592411323328637,slow,0.07500000000000001
76,5,I,0.07607607607607607,12.593016600875172,slow,0.07500000000000001
77,5,I,0.07707707707707707,12.593614503017866,slow,0.07500000000000001
78,5,I,0.07807807807807808,12.594205006105286,slow,0.07500000000000001
79,5,I,0.07907907907907907,12.594788086778685,slow,0.07500000000000001
80,5,I,0.08008008008008008,12.595363721972934,slow,0.07500000000000001
81,5,I,0.08108108108108109,12.59593188891742,slow,0.07500000000000001
82,5,I,0.08208208208208208,12.596492565136957,slow,0.07500000000000001
83,5,I,0.08308308308308308,12.597045728452674,slow,0.07500000000000001
84,5,I,0.08408408408408409,12.597591356982889,slow,0.07500000000000001
