kind,N,Filter,phase bin,p_16,p_50,p_84,max,min,sem
fast,5,I,0.0245,11.238680136480971,11.39403431386421,11.571348620516737,11.66184431210768,11.17366554632332,0.020596396476512523
fast,5,I,0.07500000000000001,10.920093481344612,11.000338604603414,11.106860657040047,11.165759067213836,10.891685105611193,0.011616523930781667
fast,5,I,0.125,10.840274936219528,10.847311493384392,10.86697477801809,10.888499067250587,10.83940972523097,0.001934816791829985
fast,5,I,0.175,10.87521933036429,10.933657144921078,11.019103038404825,11.068402415812372,10.857258365869386,0.008990119153347008
fast,5,I,0.225,11.130785676702663,11.267211606547434,11.426988252956374,11.50976748254697,11.075101095327259,0.018348878417113
fast,5,I,0.275,11.60860750766744,11.80964070429648,12.028076983760206,12.13621696140411,11.520660932053396,0.02594999172941407
fast,5,I,0.32499999999999996,12.2618193810426,12.507742223682708,12.763413596404824,12.886307799869094,12.150236735939346,0.031018051079223705
fast,5,I,0.375,13.026353350738963,13.293045378531161,13.560875234009366,13.686470025687056,12.902078820081835,0.03305056430844156
fast,5,I,0.42500000000000004,13.827222841725735,14.08852652270307,14.34224572921876,14.45822259398443,13.702445447568573,0.03184692985390449
fast,5,I,0.475,14.585877439559459,14.81616373844543,15.03088715672389,15.12587091935146,14.472835525520697,0.027525899618598883
fast,5,I,0.525,15.227907226332217,15.40458933663498,15.559256589565695,15.62393110803232,15.137688103512057,0.02051507399256799
fast,5,I,0.575,15.690341010852915,15.796089700849672,15.875530805114174,15.90355271101007,15.631793498650776,0.011519730541226667
fast,5,I,0.625,15.927822632304386,15.94632326371,15.953329409534959,15.954220315228254,15.906689153674156,0.001861444344835411
fast,5,I,0.675,15.771556237657688,15.857800011088202,15.91705955676236,15.935412913232529,15.721892143617307,0.009089070148410839
fast,5,I,0.725,15.361505427552434,15.52195732244531,15.659107441926414,15.715147510289162,15.278427499095047,0.018435106315571964
fast,5,I,0.775,14.75875511432156,14.977677781478317,15.179266596716998,15.267496887663048,14.650411752384997,0.02601428185160547
fast,5,I,0.825,14.022423902735339,14.278345096765472,14.52460049112803,14.636367252706187,13.899441577772137,0.03105399695457165
fast,5,I,0.875,13.22473220134808,13.492550808921429,13.75931970440475,13.883660694274942,13.099173194046672,0.033054615015073875
fast,5,I,0.925,12.44391874249666,12.697366735105058,12.958484060450127,13.08320373814473,12.328098058200155,0.03181868592918184
fast,5,I,0.975,11.75656681657492,11.97078565598797,12.200640653942756,12.313506336755761,11.661844312107682,0.02746814904791328
fast,5,b'zg',0.0245,14.724286491732425,14.736236627532271,14.748385380984237,14.754133284688152,14.718769050995194,0.0014901111740062544
fast,5,b'zg',0.07500000000000001,14.760614261685639,14.772759741427297,14.784703369699841,14.790216648097507,14.754866768011011,0.0014895073903691378
fast,5,b'zg',0.125,14.796327694702535,14.80747727252378,14.818044327632778,14.822782230567077,14.790913870413855,0.0013430710196287471
fast,5,b'zg',0.175,14.827923966669765,14.836984076179839,14.84513812638753,14.848635953625443,14.82337480732422,0.0010652686330667473
fast,5,b'zg',0.225,14.852304070463411,14.85838608328412,14.863327367792508,14.865242047482399,14.849065764055403,0.0006837771114825577
fast,5,b'zg',0.275,14.867076770958757,14.869584154654923,14.870828025278017,14.870971762922958,14.8654669351692,0.00023970876728521674
fast,5,b'zg',0.32499999999999996,14.866904423730059,14.869479967585434,14.870793140759488,14.870969670563634,14.865263121338169,0.00024792908394958484
fast,5,b'zg',0.375,14.851941395547884,14.85808374089105,14.863088673049758,14.865034254154283,14.848676034383347,0.0006914062920362134
fast,5,b'zg',0.42500000000000004,14.827406535736998,14.836513232633497,14.844719032939143,14.848242839992585,14.822837387049592,0.0010713340293817188
fast,5,b'zg',0.475,14.795706258111576,14.806884108826338,14.817485940757988,14.822242353771598,14.790281470478673,0.0013469622530178677
fast,5,b'zg',0.525,14.759949770817853,14.772102435914665,14.784060456774522,14.789582960020468,14.754201415096977,0.0014908393704817693
fast,5,b'zg',0.575,14.723644120793658,14.735579649660476,14.747720999819055,14.753467938354035,14.718136003858866,0.0014887525106763175
fast,5,b'zg',0.625,14.690350217635538,14.700897956689426,14.71203179531986,14.717439501269412,14.685622583400358,0.0013409075284653558
fast,5,b'zg',0.675,14.663333574540022,14.671458986589277,14.680493291022941,14.685031368925253,14.659850116068913,0.0010619106565165893
fast,5,b'zg',0.725,14.645244022142323,14.6501501552601,14.656198828117258,14.659422176861579,14.643346401977908,0.000679562756121766
fast,5,b'zg',0.775,14.63785580937304,14.639061463071553,14.641531241947895,14.643123710922158,14.637730148789823,0.00023518288056380255
fast,5,b'zg',0.825,14.637929150149128,14.639280504665273,14.641893582609088,14.643552206575121,14.637734547739937,0.0002524645902508419
fast,5,b'zg',0.875,14.645745850988458,14.650785796131382,14.656961311330276,14.660241539656834,14.64378326407584,0.000695602241518273
fast,5,b'zg',0.925,14.664214671371923,14.672448882180817,14.681581131353873,14.68616123459887,14.660676593261098,0.0010746624688170896
fast,5,b'zg',0.975,14.691524163227488,14.702145016639001,14.713338295847665,14.718769050995194,14.686757613632736,0.0013490884086488808
fast,5,b'zr',0.0245,13.646393087076326,13.647781665432403,13.64810870819886,13.64814889747357,13.645247892139789,0.00012069214080974798
fast,5,b'zr',0.07500000000000001,13.634355119132307,13.6395912686979,13.643618045893835,13.645081446291039,13.631488441930856,0.0005756649746308027
fast,5,b'zr',0.125,13.612012756050504,13.620485289715408,13.627957944501143,13.631104741981533,13.607705764345907,0.0009870836892207971
fast,5,b'zr',0.175,13.58155736845931,13.592435288116771,13.602620891922772,13.607142444130714,13.57623249810061,0.0013028201636672008
fast,5,b'zr',0.225,13.545976063926496,13.558192447803375,13.57009198217617,13.575544808864436,13.540155585743388,0.0014912109463335022
fast,5,b'zr',0.275,13.508758707216476,13.521115355072501,13.533561696820124,13.539410977020912,13.50301350195631,0.0015336227186580828
fast,5,b'zr',0.32499999999999996,13.473555629409368,13.484840583714444,13.496612978002828,13.502285006026085,13.46844919494455,0.0014258714130969497
fast,5,b'zr',0.375,13.44381959825641,13.452926014702424,13.46286980841923,13.467808263719633,13.439852780914658,0.0011785935654147347
fast,5,b'zr',0.42500000000000004,13.422467165826642,13.428501874185516,13.435641765953445,13.439362277837732,13.420029036673494,0.0008163282261937853
