7150.87172 12.317 0.004
7151.88554 12.386 0.004
7203.81008 12.298 0.004
8295.68434 12.258 0.004
8295.82350 12.295 0.004
8331.71303 12.266 0.004
8338.68637 12.350 0.004
8346.67264 12.595 0.004
8356.61335 12.606 0.004
8367.60227 12.262 0.004
8372.59303 12.564 0.004
8404.51562 12.432 0.004
8569.89547 12.339 0.004
8596.85852 12.331 0.004
8643.79025 12.550 0.004
8644.76703 12.559 0.004
8647.78664 12.612 0.004
8648.80843 12.281 0.004
8650.73522 12.609 0.004
8656.83761 12.550 0.004
8657.80904 12.605 0.004
8660.75456 12.621 0.004
8664.75302 12.308 0.004
8666.70136 12.544 0.004
8667.69832 12.521 0.004
8668.71004 12.295 0.004
8669.67978 12.498 0.004
8670.67444 12.607 0.004
8673.74008 12.593 0.004
8674.72110 12.267 0.004
8675.70907 12.410 0.004
8676.67121 12.563 0.004
8677.68655 12.413 0.004
8681.71032 12.309 0.004
8682.74134 12.499 0.004
8683.71399 12.606 0.004
8684.68746 12.246 0.004
8689.74591 12.559 0.004
8690.69111 12.466 0.004
8691.66711 12.329 0.004
8693.73606 12.588 0.004
8695.68421 12.468 0.004
8697.69784 12.232 0.004
8698.63299 12.415 0.004
8699.60336 12.582 0.004
8700.65465 12.367 0.004
8701.61777 12.392 0.004
8702.57378 12.530 0.004
8705.64403 12.506 0.004
8706.59358 12.613 0.004
8708.63659 12.454 0.004
8711.56799 12.382 0.004
8713.58752 12.450 0.004
8714.59756 12.335 0.004
8715.61929 12.543 0.004
8717.61391 12.282 0.004
8718.61432 12.500 0.004
8721.61284 12.434 0.004
8723.56106 12.341 0.004
8724.56052 12.383 0.004
8726.55218 12.535 0.004
8728.51276 12.507 0.004
8729.55186 12.629 0.004
8738.51656 12.527 0.004
8741.51502 12.479 0.004
8748.52765 12.559 0.004
8752.54609 12.592 0.004
8753.52920 12.265 0.004
8755.51800 12.633 0.004
