,Gaia period,Name,Nobs,Outliers1,Outliers3,Subtype,Type,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
0,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.001
1,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927526256676414,30.0,0.003324665715897121,0.9883494335258253,0.9882962530389869,1.0039018503518564,0.002894710330400072,0.00818747721678657,6.6990134193764e-05,0.001
2,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.9883910236760061,50.0,3.568153021332078e-05,0.9883692798677018,0.9883466516416299,0.9884684462990043,2.0083838688214422e-05,5.680567411477261e-05,2.023145636382861e-09,0.001
3,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.001
4,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.002
5,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9928319108142406,30.0,0.003314503985458711,0.9883853972327626,0.9883671141905762,1.0040554080817516,0.002915164418044676,0.008245330113092504,6.827283145028305e-05,0.002
6,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.9883480814906276,50.0,1.1766999363198232e-05,0.9883582187690982,0.9883127635808612,0.9883679907371183,9.216021809626766e-06,2.6066846068600817e-05,5.588475467479777e-10,0.002
7,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.002
8,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.004
9,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927526256676414,30.0,0.003324665715897121,0.9883494335258253,0.9882962530389869,1.0039018503518564,0.0028947103304000745,0.008187477216786577,6.6990134193764e-05,0.004
10,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.9883910236760061,50.0,3.568153021332078e-05,0.9883692798677018,0.9883466516416299,0.9884684462990043,2.008383868821182e-05,5.680567411476525e-05,2.0231456363828616e-09,0.004
11,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.004
12,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.007
13,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9928319108142407,30.0,0.003314503985458711,0.9883853972327626,0.9883671141905762,1.0040554080817516,0.0029151644180446788,0.008245330113092511,6.827283145028305e-05,0.007
14,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.9883480814906276,50.0,1.1766999363198232e-05,0.9883582187690982,0.9883127635808612,0.9883679907371183,9.216021809622262e-06,2.6066846068588078e-05,5.588475467479777e-10,0.007
15,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.007
16,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.014
17,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927526256676414,30.0,0.003324665715897121,0.9883494335258253,0.9882962530389869,1.0039018503518564,0.0028947103304000806,0.008187477216786594,6.6990134193764e-05,0.014
18,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.988391023676006,50.0,3.568153021332078e-05,0.9883692798677018,0.9883466516416299,0.9884684462990043,2.0083838688216607e-05,5.68056741147788e-05,2.0231456363828616e-09,0.014
19,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.014
20,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.028
