,Unnamed: 0,100 mean,100 med_sig,100 median,100 p16,100 p84,100 sem,100 std,20 mean,20 med_sig,20 median,20 p16,20 p84,20 sem,20 std,25 mean,25 med_sig,25 median,25 p16,25 p84,25 sem,25 std,30 mean,30 med_sig,30 median,30 p16,30 p84,30 sem,30 std,35 mean,35 med_sig,35 median,35 p16,35 p84,35 sem,35 std,40 mean,40 med_sig,40 median,40 p16,40 p84,40 sem,40 std,45 mean,45 med_sig,45 median,45 p16,45 p84,45 sem,45 std,50 mean,50 med_sig,50 median,50 p16,50 p84,50 sem,50 std,LS period,N_I,N_V,Name,OGLE period
8,8.0,0.5218656154890498,2.3359286217460527e-05,0.6041497190757076,0.15442832037217544,0.6041718666707143,0.01829058655932825,0.18290586559328256,1.081350599196616,0.7145539080423153,0.4733331292086679,0.1258802483031904,1.5105208279464395,0.1812228249803172,1.8122282498031723,0.9195061171929616,0.3357210080871676,0.3671469009935435,0.12315070603664682,1.1493546715101306,0.1773203184457193,1.773203184457193,0.6978330609303873,0.334725083862018,0.604071375064613,0.11299240673252063,0.6223230226566794,0.0942636609650538,0.942636609650538,0.6843107867374024,0.261571177324236,0.6041238523116854,0.12730831444290988,0.6041777951659367,0.11570470262934138,1.1570470262934138,0.6788007134747497,0.2169588501583622,0.6041410499611591,0.13408776761891705,0.6041897991955539,0.07515223813019307,0.7515223813019307,0.694292971291285,0.34048756678937764,0.6041431545513896,0.12714771789535306,0.6041756258854314,0.1296913342003597,1.296913342003597,0.5735107815741711,3.014726149684668e-05,0.6041492512975573,0.22311230632058948,0.6041742770458766,0.04892314661238768,0.4892314661238768,0.6041497190757076,123.0,123.0,OGLE-BLG-RRLYR-00009,0.60416322
9,9.0,0.5795272515963695,1.7533962526202282e-05,0.6338191528660821,0.6337907540637012,0.6338362943228171,0.020653570637057875,0.20653570637057875,0.7672541549664926,0.34887478429558894,0.6338105335365355,0.12317573799757613,0.6385890857456772,0.10430187848725514,1.0430187848725514,0.558678545443406,0.2488111639254403,0.6338112952013102,0.11895344591858625,0.6338507659302466,0.03818569685408056,0.3818569685408056,0.5993770551144836,0.3669288925664373,0.6338021605829645,0.1134015971703597,0.6338431044450071,0.08988827810757641,0.8988827810757641,0.5213332452074235,3.976045241077098e-05,0.6338191528660821,0.1279842797837913,0.6338475542135558,0.025281212447513832,0.2528121244751383,0.5583565321802609,3.197314020032942e-05,0.633811291937952,0.1351729971836413,0.6338362943228171,0.02637731071210507,0.2637731071210507,0.5381056774768109,3.0203891378505403e-05,0.6338158275495888,0.15192100596600086,0.6338362943228171,0.02409754783412683,0.2409754783412683,0.5313972296498407,0.02569631284004237,0.633817203203504,0.1257908597041734,0.6338363161726975,0.027969574239273303,0.27969574239273304,0.6338191528660821,123.0,123.0,OGLE-BLG-RRLYR-00010,0.6338724
10,10.0,0.3681885535437283,0.00010895364982657902,0.4419496727262857,0.1254013587364644,0.4419634812728917,0.013655931902937485,0.13655931902937485,0.4661482860287299,0.00039197321997673273,0.4419045219444404,0.15466901468040312,0.44197211722724655,0.038000592519225836,0.3800059251922585,0.38958850977894216,0.00039458253084228813,0.4419266031771055,0.1258525455756007,0.4419672017886216,0.022206934142926047,0.22206934142926046,0.3935898634377852,0.0003833231646560382,0.44193614118790414,0.2959643860576217,0.4419652402286976,0.013364021055356137,0.13364021055356134,0.37561483540150015,0.025491185998629443,0.4419222386623558,0.12427437337427928,0.4419604959446049,0.014849151939352118,0.14849151939352118,0.3786304593402581,0.00037967433018442005,0.4419304723705003,0.15536553683788834,0.4419635696504616,0.01261482296478266,0.1261482296478266,0.3662537036417725,0.00038050049768173684,0.4419338578973985,0.13904657206086754,0.441959995946025,0.013613520173147379,0.13613520173147378,0.35985283708110183,0.1816890054603421,0.4419358650425113,0.1271675318344228,0.44196373311558895,0.013984956313378332,0.13984956313378333,0.4419496727262857,124.0,124.0,OGLE-BLG-RRLYR-00011,0.4419688
11,11.0,0.2393498066746997,4.123444381429455e-07,0.2541849502058635,0.2541829272764867,0.25418559820496456,0.004599324445196254,0.04599324445196254,0.2365810652436961,2.873679023552088e-06,0.2541849502058635,0.2541810659922797,0.2541878494325749,0.005437174998714735,0.05437174998714736,0.22971004493986105,3.3932889254824587e-06,0.2541849502058635,0.13379698881786936,0.2541872394399313,0.006193733454009933,0.06193733454009932,0.2323049768204111,2.281920072840368e-06,0.2541849502058635,0.18017846198811446,0.2541876925979673,0.005240994755530623,0.05240994755530623,0.22568061556353444,2.822204665911936e-06,0.2541849502058635,0.1337117413530576,0.2541872394399313,0.005573237372326517,0.05573237372326517,0.2272869303298049,1.8256705208640843e-06,0.2541849502058635,0.14305142368105614,0.2541872394399313,0.0055331345835315906,0.05533134583531591,0.22324590030993874,3.4257732162936305e-06,0.25418480349113026,0.12748029427007712,0.254186775883554,0.005652044730589844,0.05652044730589844,0.2251238187408524,1.5971550138776076e-06,0.2541849502058635,0.133691429718802,0.25418559820496456,0.0055068117044758365,0.05506811704475836,0.2541849502058635,121.0,121.0,OGLE-BLG-RRLYR-00012,0.25418932
12,12.0,0.25547775744803464,1.33467488498463e-06,0.2554778419272245,0.255476463895333,0.2554790403868364,1.3318760020562007e-07,1.3318760020562007e-06,0.2554769301642669,2.5532125343200826e-06,0.2554774446043361,0.25547416605348083,0.2554795164973083,3.077631230069473e-07,3.077631230069473e-06,0.2554775399070453,1.6861179202709881e-06,0.2554775781594111,0.2554759787788289,0.2554795029849052,1.896269245724441e-07,1.8962692457244407e-06,0.2554775909483448,1.8277531401318008e-06,0.25547783388657463,0.25547574059442024,0.2554794255121781,2.0684988152034107e-07,2.06849881520341e-06,0.2554771718923755,2.0561869046231226e-06,0.2554774245363494,0.2554752804336737,0.2554789578308749,1.955541909546221e-07,1.9555419095462207e-06,0.2554775395335909,1.5299787507257081e-06,0.2554777193228889,0.2554759795228277,0.2554791431525508,1.7155742883278617e-07,1.7155742883278615e-06,0.2554774716482694,1.4473286931840142e-06,0.2554776017742221,0.25547581171083344,0.2554788315582593,1.7414621866397775e-07,1.7414621866397773e-06,0.2554778360550667,1.3461231291164101e-06,0.2554779120679622,0.25547626267636503,0.2554793705295513,1.5495020285942222e-07,1.5495020285942225e-06,0.25547823444376644,59.0,59.0,OGLE-BLG-RRLYR-00013,0.25547716
13,13.0,0.33932113901210464,1.467234818103921e-05,0.3984637230966754,0.12637176329488287,0.3984705669437705,0.01215415180321973,0.12154151803219733,0.529716293989854,0.3861417167987119,0.39846742916310657,0.11281781913602347,0.6636079922375899,0.07656791384604121,0.7656791384604121,0.3914353741951152,0.18255458200663305,0.3984658975022372,0.11268594832651108,0.5221445027588142,0.02971402442009575,0.2971402442009575,0.460059412078112,2.941591341764065e-05,0.3984641226529422,0.1365934217276763,0.5587095156198331,0.06221482637993266,0.6221482637993266,0.3388884688063056,0.1968261166016507,0.398459227529315,0.11340781756228835,0.3984785969496324,0.017101474194128767,0.1710147419412877,0.3543512745163773,0.16793650745316582,0.3984637230966754,0.11423600286500273,0.398478043478799,0.017647578651569296,0.17647578651569296,0.33695903228207125,0.186658158076055,0.39846568391663817,0.11339592286352065,0.3984757586544657,0.014657930975847609,0.1465793097584761,0.42476641027208695,1.2556971041625321e-05,0.3984637230966754,0.15607479228569218,0.398477562088032,0.061360106813616776,0.6136010681361677,0.3984637230966754,112.0,112.0,OGLE-BLG-RRLYR-00014,0.39847694
14,14.0,0.2822668075017146,4.783954364682999e-06,0.31760346472678097,0.1250144707149638,0.31760346472678097,0.008054137984231834,0.08054137984231834,0.2807008407578638,0.07019192501198315,0.3175979689891423,0.12557615179377482,0.3176037155041824,0.01211091232924456,0.1211091232924456,0.2671194484269617,0.12928761545685916,0.3175978832839664,0.10698970409666464,0.3176037983272536,0.011630465298309205,0.11630465298309205,0.27281400027613484,0.07818055834399887,0.3175988457098753,0.11323594584037562,0.3176035132335107,0.011226143167163378,0.11226143167163376,0.2741404381262834,5.335774674210434e-06,0.31759937003426497,0.1424199739644461,0.3176035746017901,0.008034357163199566,0.08034357163199565,0.28020808358746324,5.183421877371343e-06,0.3175981408686228,0.15267925107927666,0.31760346472678097,0.008053003744975593,0.08053003744975593,0.2748710580295009,5.484719998368111e-06,0.3175979542891303,0.14222438554823733,0.31760346472678097,0.008016489166461787,0.08016489166461786,0.2503663899788404,0.13625858743670852,0.3175976461301874,0.1125764588285829,0.3176035017675732,0.009366982876108595,0.09366982876108594,0.31760346472678097,124.0,124.0,OGLE-BLG-RRLYR-00015,0.31760682
15,15.0,0.4475757037092415,2.460205123058957e-05,0.5462131538612974,0.1262885523873939,0.5462342765417704,0.018040664682938502,0.180406646829385,0.3345059837880172,0.1716893827432979,0.19546744579936934,0.1130253730696526,0.39425615724650204,0.05610589461221429,0.5610589461221429,0.3804349704437977,0.30069912766624146,0.25526228566124914,0.12568386351278388,0.5462249148723678,0.04512394240491652,0.4512394240491652,0.3106142308597095,0.3118775539167313,0.1935822719524174,0.11304623678645118,0.5462147921175201,0.0216848636834654,0.216848636834654,0.3282795204874543,0.3122928163581934,0.3104860861383081,0.11238818888127863,0.5462342765417704,0.021588790163356214,0.21588790163356214,0.3890060219538652,0.291811383739516,0.5339188498073753,0.1131991682543671,0.5462343530238923,0.024602391783821485,0.24602391783821484,0.3984154175465256,0.30041705522800816,0.546192021421999,0.11346323365623227,0.546237927000471,0.027609649586086072,0.2760964958608607,0.4407579142697777,0.1433074228047847,0.5462131481646694,0.15336844279660022,0.5462441661172731,0.01696826636936705,0.1696826636936705,0.5462228652751449,124.0,124.0,OGLE-BLG-RRLYR-00016,0.54626274
16,16.0,0.257843766222072,2.0601810372566848e-06,0.2956019818296743,0.11340072360092025,0.2956075500985273,0.0074853821788725345,0.07485382178872534,0.24265699287214945,0.11374399238517692,0.2956012931304557,0.10860010667059516,0.29560874675237325,0.008259594232297628,0.08259594232297628,0.2606889157239868,0.009317928343504448,0.2956024329048894,0.11352058021241422,0.2956081763894671,0.010237665865274416,0.10237665865274416,0.2599892950822901,7.587117096516475e-06,0.29560353173711645,0.12725324459932694,0.29560836112658234,0.007276383933515181,0.0727638393351518,0.25081995270327684,0.05549480023595482,0.29560207892738005,0.12427434038269522,0.2956081753361431,0.0076475619949147155,0.07647561994914716,0.2600189838910066,5.795735229604631e-06,0.2956030773201994,0.152314324474917,0.2956084225962609,0.0070683575184507606,0.07068357518450763,0.25235547093705424,0.07048603773708416,0.29560294076332244,0.1266480739929452,0.2956081716069889,0.007518156787449863,0.07518156787449863,0.24710787044350965,0.0953408725487784,0.2956020443373104,0.11310995008544465,0.2956075500985273,0.007867110634370959,0.07867110634370961,0.2956013726272298,119.0,119.0,OGLE-BLG-RRLYR-00017,0.29560942
17,17.0,0.250908560604526,3.989854623155763e-06,0.2759247820779225,0.2320559939193749,0.275927103892886,0.005773321622811752,0.05773321622811752,0.2670298582753285,8.198826729591251e-06,0.27592494956253777,0.1135114363454807,0.27592959554929025,0.025360169257995845,0.2536016925799585,0.22849975907451825,0.10642925449573136,0.2759221866959561,0.11304070033285428,0.2759275442480175,0.007277983997998792,0.07277983997998792,0.24962396877212625,4.331761922473875e-06,0.2759248629498829,0.19476542073007044,0.27592778423233216,0.005899473236552104,0.05899473236552104,0.24744084349171355,4.866963881495377e-06,0.2759247820779225,0.1527448319024257,0.27592760295585306,0.005970337955358328,0.05970337955358328,0.2430892445041026,4.161252977976239e-06,0.2759247820779225,0.12434205480028428,0.2759271749408391,0.006572099180752171,0.0657209918075217,0.2416742501132762,6.013581072196868e-06,0.2759247820779225,0.12725030078885152,0.275927103892886,0.006539167353496871,0.0653916735349687,0.2475887506490381,4.597024165499038e-06,0.2759247820779225,0.1426493852377364,0.275927103892886,0.006149424475061008,0.06149424475061008,0.275927103892886,123.0,123.0,OGLE-BLG-RRLYR-00018,0.27593054
