,N,Filter,phase,mag,kind,phase bin
217,5,I,0.2172172172172172,12.766520362414866,fast,0.225
218,5,I,0.21821821821821819,12.761442128058746,fast,0.225
219,5,I,0.2192192192192192,12.756383694673781,fast,0.225
220,5,I,0.2202202202202202,12.751345262358253,fast,0.225
221,5,I,0.22122122122122118,12.746327030419256,fast,0.225
222,5,I,0.2222222222222222,12.74132919736481,fast,0.225
223,5,I,0.22322322322322322,12.736351960896009,fast,0.225
224,5,I,0.22422422422422422,12.731395517899204,fast,0.225
225,5,I,0.2252252252252252,12.726460064438204,fast,0.225
226,5,I,0.2262262262262262,12.721545795746534,fast,0.225
227,5,I,0.2272272272272272,12.716652906219704,fast,0.225
228,5,I,0.2282282282282282,12.711781589407515,fast,0.225
229,5,I,0.2292292292292292,12.706932038006416,fast,0.225
230,5,I,0.2302302302302302,12.70210444385187,fast,0.225
231,5,I,0.2312312312312312,12.697298997910767,fast,0.225
232,5,I,0.23223223223223222,12.69251589027388,fast,0.225
233,5,I,0.23323323323323322,12.687755310148326,fast,0.225
234,5,I,0.23423423423423423,12.683017445850105,fast,0.225
235,5,I,0.2352352352352352,12.678302484796628,fast,0.225
236,5,I,0.2362362362362362,12.673610613499324,fast,0.225
237,5,I,0.23723723723723722,12.668942017556244,fast,0.225
238,5,I,0.2382382382382382,12.664296881644733,fast,0.225
239,5,I,0.2392392392392392,12.659675389514113,fast,0.225
240,5,I,0.2402402402402402,12.655077723978428,fast,0.225
241,5,I,0.24124124124124122,12.6505040669092,fast,0.225
242,5,I,0.24224224224224222,12.64595459922824,fast,0.225
243,5,I,0.24324324324324323,12.64142950090049,fast,0.225
244,5,I,0.24424424424424424,12.636928950926906,fast,0.225
245,5,I,0.2452452452452452,12.632453127337376,fast,0.225
246,5,I,0.24624624624624622,12.628002207183677,fast,0.225
247,5,I,0.24724724724724723,12.62357636653247,fast,0.225
248,5,I,0.2482482482482482,12.61917578045834,fast,0.225
249,5,I,0.24924924924924924,12.614800623036864,fast,0.225
250,5,I,0.2502502502502502,12.610451067337733,fast,0.275
251,5,I,0.2512512512512512,12.6061272854179,fast,0.275
252,5,I,0.25225225225225223,12.60182944831477,fast,0.275
253,5,I,0.2532532532532532,12.59755772603945,fast,0.275
254,5,I,0.2542542542542542,12.59331228757,fast,0.275
255,5,I,0.2552552552552553,12.589093300844777,fast,0.275
256,5,I,0.25625625625625625,12.584900932755762,fast,0.275
257,5,I,0.25725725725725723,12.580735349141982,fast,0.275
258,5,I,0.25825825825825827,12.576596714782939,fast,0.275
259,5,I,0.25925925925925924,12.572485193392094,fast,0.275
260,5,I,0.2602602602602602,12.568400947610389,fast,0.275
261,5,I,0.26126126126126126,12.564344138999815,fast,0.275
262,5,I,0.26226226226226224,12.560314928037021,fast,0.275
263,5,I,0.2632632632632632,12.556313474106966,fast,0.275
264,5,I,0.26426426426426425,12.552339935496617,fast,0.275
265,5,I,0.2652652652652652,12.548394469388679,fast,0.275
266,5,I,0.26626626626626626,12.544477231855385,fast,0.275
267,5,I,0.26726726726726724,12.540588377852323,fast,0.275
268,5,I,0.2682682682682682,12.536728061212301,fast,0.275
269,5,I,0.26926926926926925,12.53289643463926,fast,0.275
270,5,I,0.27027027027027023,12.529093649702249,fast,0.275
271,5,I,0.2712712712712712,12.525319856829404,fast,0.275
272,5,I,0.27227227227227224,12.521575205302021,fast,0.275
273,5,I,0.2732732732732732,12.517859843248639,fast,0.275
274,5,I,0.27427427427427425,12.514173917639182,fast,0.275
275,5,I,0.2752752752752753,12.510517574279143,fast,0.275
276,5,I,0.27627627627627627,12.506890957803828,fast,0.275
277,5,I,0.27727727727727725,12.503294211672614,fast,0.275
278,5,I,0.2782782782782783,12.499727478163296,fast,0.275
279,5,I,0.27927927927927926,12.496190898366443,fast,0.275
280,5,I,0.28028028028028024,12.492684612179824,fast,0.275
281,5,I,0.28128128128128127,12.489208758302874,fast,0.275
282,5,I,0.28228228228228225,12.485763474231208,fast,0.275
283,5,I,0.2832832832832832,12.482348896251173,fast,0.275
284,5,I,0.28428428428428426,12.47896515943447,fast,0.275
285,5,I,0.28528528528528524,12.475612397632803,fast,0.275
286,5,I,0.2862862862862863,12.472290743472588,fast,0.275
287,5,I,0.28728728728728725,12.469000328349702,fast,0.275
288,5,I,0.28828828828828823,12.46574128242429,fast,0.275
289,5,I,0.28928928928928926,12.46251373461561,fast,0.275
290,5,I,0.29029029029029024,12.459317812596947,fast,0.275
291,5,I,0.2912912912912912,12.456153642790543,fast,0.275
292,5,I,0.29229229229229226,12.453021350362611,fast,0.275
293,5,I,0.2932932932932933,12.449921059218381,fast,0.275
294,5,I,0.29429429429429427,12.44685289199719,fast,0.275
295,5,I,0.2952952952952953,12.443816970067646,fast,0.275
296,5,I,0.2962962962962963,12.44081341352281,fast,0.275
297,5,I,0.29729729729729726,12.437842341175458,fast,0.275
298,5,I,0.2982982982982983,12.434903870553375,fast,0.275
299,5,I,0.29929929929929927,12.431998117894715,fast,0.275
300,5,I,0.30030030030030025,12.429125198143383,fast,0.32499999999999996
301,5,I,0.3013013013013013,12.426285224944511,fast,0.32499999999999996
302,5,I,0.30230230230230226,12.423478310639947,fast,0.32499999999999996
303,5,I,0.3033033033033033,12.420704566263819,fast,0.32499999999999996
304,5,I,0.3043043043043043,12.41796410153814,fast,0.32499999999999996
305,5,I,0.30530530530530525,12.415257024868463,fast,0.32499999999999996
306,5,I,0.3063063063063063,12.412583443339607,fast,0.32499999999999996
307,5,I,0.30730730730730726,12.409943462711402,fast,0.32499999999999996
308,5,I,0.30830830830830824,12.40733718741452,fast,0.32499999999999996
309,5,I,0.3093093093093093,12.40476472054634,fast,0.32499999999999996
310,5,I,0.31031031031031026,12.402226163866862,fast,0.32499999999999996
311,5,I,0.3113113113113113,12.399721617794699,fast,0.32499999999999996
312,5,I,0.3123123123123123,12.397251181403085,fast,0.32499999999999996
313,5,I,0.3133133133133133,12.394814952415969,fast,0.32499999999999996
314,5,I,0.3143143143143143,12.392413027204144,fast,0.32499999999999996
315,5,I,0.3153153153153153,12.390045500781437,fast,0.32499999999999996
316,5,I,0.3163163163163163,12.387712466800949,fast,0.32499999999999996
317,5,I,0.31731731731731727,12.38541401755135,fast,0.32499999999999996
318,5,I,0.3183183183183183,12.383150243953233,fast,0.32499999999999996
319,5,I,0.3193193193193193,12.38092123555551,fast,0.32499999999999996
320,5,I,0.32032032032032026,12.378727080531874,fast,0.32499999999999996
321,5,I,0.3213213213213213,12.376567865677313,fast,0.32499999999999996
322,5,I,0.3223223223223223,12.374443676404669,fast,0.32499999999999996
323,5,I,0.3233233233233233,12.372354596741268,fast,0.32499999999999996
324,5,I,0.3243243243243243,12.370300709325592,fast,0.32499999999999996
325,5,I,0.32532532532532527,12.368282095404012,fast,0.32499999999999996
326,5,I,0.3263263263263263,12.366298834827571,fast,0.32499999999999996
