kind,N,Filter,phase bin,p_16,p_50,p_84
fast,5,b'zr',0.32499999999999996,13.603287132115575,13.609561202061613,13.614631390830578
fast,5,b'zr',0.375,13.577975659042268,13.587402138037618,13.595867705853538
fast,5,b'zr',0.42500000000000004,13.544993295976125,13.55664762160436,13.567678253580825
fast,5,b'zr',0.475,13.507574999820019,13.520314099310283,13.532827895433524
fast,5,b'zr',0.525,13.469390810079648,13.481965214503663,13.494734803918874
fast,5,b'zr',0.575,13.43418588618867,13.445362280143607,13.457135203427464
fast,5,b'zr',0.625,13.405413176964846,13.414095363895559,13.423716916051099
fast,5,b'zr',0.675,13.385894750497457,13.39123116920782,13.397757654766668
fast,5,b'zr',0.725,13.377545001710462,13.37901224869209,13.381803540703126
fast,5,b'zr',0.775,13.37741937597352,13.378637051385773,13.381182885795809
fast,5,b'zr',0.825,13.385035165666539,13.3901423771723,13.396451593927821
fast,5,b'zr',0.875,13.403903942338129,13.412399767396405,13.42185354957838
fast,5,b'zr',0.925,13.432175029636808,13.443226185687983,13.454897292944757
fast,5,b'zr',0.975,13.467075559262469,13.47959813326245,13.492341846857258
fast,55,I,0.0245,14.04584916815051,14.09351555538313,14.132334889362575
fast,55,I,0.07500000000000001,14.16190558338856,14.181832209395644,14.191943406536115
fast,55,I,0.125,14.162760150981907,14.182348811222695,14.192116378154342
fast,55,I,0.175,14.047647457755028,14.09501469182511,14.133518434890979
fast,55,I,0.225,13.857895742912572,13.928395705378804,13.99185912290229
fast,55,I,0.275,13.612116123509164,13.698834078160095,13.781032588227955
fast,55,I,0.32499999999999996,13.334415012865787,13.428845539836907,13.521716996113025
fast,55,I,0.375,13.052029729394423,13.144910948799962,13.239346387261415
fast,55,I,0.42500000000000004,12.792657021815112,12.874879012050581,12.961616071085666
fast,55,I,0.475,12.581736532797445,12.645234844558617,12.715766230517758
fast,55,I,0.525,12.439955642761593,12.478502271658947,12.525910166269986
fast,55,I,0.575,12.381220422294362,12.391034660348183,12.410669230134504
fast,55,I,0.625,12.38134641641459,12.391410957878229,12.411291705042245
fast,55,I,0.675,12.440817748227955,12.47959425645416,12.527220056984753
fast,55,I,0.725,12.583250193084268,12.646935413203023,12.717635061102232
fast,55,I,0.775,12.79467377497673,12.87702137036197,12.963860543988142
fast,55,I,0.825,13.054351769423166,13.147284971239603,13.241746361399379
fast,55,I,0.875,13.336814590785492,13.431218378920123,13.524037078622458
fast,55,I,0.925,13.61435788531746,13.700973002467482,13.783045222128962
fast,55,I,0.975,13.859759813434906,13.930090926183611,13.99336690621012
fast,55,b'zg',0.0245,14.991404477033699,15.020288838953817,15.047421194709328
fast,55,b'zg',0.07500000000000001,15.072531595380699,15.09528425726427,15.11546260223082
fast,55,b'zg',0.125,15.132862789202461,15.147252137733258,15.158497351245442
fast,55,b'zg',0.175,15.166480689524509,15.171095397010081,15.172233484821225
fast,55,b'zg',0.225,15.155529918363456,15.1644754544409,15.170088005049402
