,N_I,N_V,Name,Nobs,OGLE period,Outliers1,Outliers3,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
27,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.117
28,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,,,,,,,,,,,,0.176
29,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.0,0.0,0.44175515438468466,20.5,0.41274489066695125,0.4665288473026586,0.11331183507224282,0.7325424604618063,0.11070131863297356,0.31311061236667326,-0.0839611352813255,0.176
30,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.25,0.0,0.7325546476754152,30.5,2.5347869265216438e-05,0.7325662512951623,0.7325109824711157,0.732580675377699,1.1438314753366867e-05,3.2352439709807374e-05,4.0797482572815104e-10,0.176
31,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.176
32,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,,,,,,,,,,,,0.265
33,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.0,0.0,0.4185891648134104,20.5,0.46430793791755814,0.4200505694479867,0.10245365708576963,0.7325033374964952,0.11864921665809973,0.3355906627256568,-0.11703626921468424,0.265
34,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.25,0.25,0.2741490149921,30.5,0.1435549565133373,0.13144776897675284,0.10194998357849097,0.6632539403490366,0.10033611983804235,0.2837934029417033,0.07022697868386443,0.265
35,106.0,106.0,OGLE-BLG-RRLYR-00001,"(50.0, inf]",0.73258757,,,,,,,,,,,,0.265
36,106.0,106.0,OGLE-BLG-RRLYR-00001,"(10.0, 20.0]",0.73258757,,,,,,,,,,,,0.4
37,106.0,106.0,OGLE-BLG-RRLYR-00001,"(20.0, 30.0]",0.73258757,0.0,0.0,0.44175515438468466,20.5,0.41274489066695125,0.4665288473026586,0.11331183507224282,0.7325424604618063,0.11070131863297356,0.31311061236667326,-0.0839611352813255,0.4
38,106.0,106.0,OGLE-BLG-RRLYR-00001,"(30.0, 50.0]",0.73258757,0.25,0.0,0.7325546476754152,30.5,2.5347869265216438e-05,0.7325662512951623,0.7325109824711157,0.732580675377699,1.1438314753369054e-05,3.235243970981356e-05,4.0797482572815104e-10,0.4
