,_best_period,unique_filts_,ymean_by_filt_,omega,theta,source_id,Expected,E-C,dof,χ2,χ2 dof,Type,Subtype,Nterms,LS period 0,LS period 0 score,χ2 0,χ2 0/dof,LS period 1,LS period 1 score,χ2 1,χ2 1/dof,LS period 2,LS period 2 score,χ2 2,χ2 2/dof,LS period 3,LS period 3 score,χ2 3,χ2 3/dof,LS period 4,LS period 4 score,χ2 4,χ2 4/dof,LS period 5,LS period 5 score,χ2 5,χ2 5/dof,LS period 6,LS period 6 score,χ2 6,χ2 6/dof,LS period 7,LS period 7 score,χ2 7,χ2 7/dof,LS period 8,LS period 8 score,χ2 8,χ2 8/dof,LS period 9,LS period 9 score,χ2 9,χ2 9/dof
0,111.73176131616468,['zg' 'zr'],[14.8323486  13.43388654],0.05623454990027597,"[ 0.03514931 -0.69970007 -0.43866691 -0.01025942  0.02773137 -0.05037433
  0.01025942 -0.02773137  0.05037433]",6904301907057503744,13.536183859648268,-98.19557745651642,184,65404.311771858964,355.4582161514074,CEP,T2CEP,1,111.73176131616468,0.8678944797338565,65404.311771858964,355.4582161514074,0.9883862345636717,0.7856559950878248,106119.88093092835,576.7384833202628,1.0061411726815632,0.6357786647698771,180322.89555121737,980.0157366913987,0.49639496998132093,0.5924003475275589,201799.20118097757,1096.734789027052,1.0090686544717749,0.513812641485889,240707.27222977122,1308.1916969009305,0.501545090348171,0.5075397380163703,243812.86203310412,1325.0699023538268,0.33172512591457054,0.4772326286455162,258817.7503334,1406.6182083336957,0.49708814608314317,0.4365601017708106,278954.2579201673,1516.0557495661267,0.24892209190106132,0.3758441240669539,309014.40353644255,1679.4261061763182,84.56095838025023,0.3750372606510934,309413.8029430546,1681.5967551252966
0,0.7544018076813339,['zg' 'zr'],[17.75325449 17.41445461],8.328698636726571,"[ 0.04025244  0.19194326  0.12632462  0.01555088  0.03613931  0.04825863
 -0.01555088 -0.03613931 -0.04825863]",6317916035087040512,2.053566378759913,1.2991645710785793,148,1452.0044344358676,9.810840773215322,RR,RRAB,1,0.7544018076813339,0.8126128182859798,1452.0044344358676,9.810840773215322,3.0973315608037515,0.702160092598454,2307.87158130467,15.59372690070723,0.429502965839645,0.6624649649191645,2615.4632209038064,17.672048789890585,0.30045191321728204,0.6075258345740058,3041.170326825509,20.548448154226413,0.2308917515539454,0.5228041046408554,3697.6610152807502,24.98419604919426,0.4300017986224121,0.5135764859288994,3769.15526777579,25.467265322809393,1.4768843274099195,0.4743712845520895,4072.9530029434395,27.51995272259081,0.5953103481268749,0.4506698759917268,4256.60854373578,28.76086853875527,1.4709278804808887,0.406946985269442,4595.401151634117,31.050007781311603,0.37719160797393225,0.387996672653955,4742.245368203687,32.04219843380869
0,1.0249374385697272,['zg' 'zr'],[13.15301437 12.6309809 ],6.1303110519092785,"[ 0.01216524 -0.09345336  0.08039192  0.01434525 -0.02828164  0.0530513
 -0.01434525  0.02828164 -0.0530513 ]",6050413068034176256,16.941260056979903,15.916322618410176,61,1822.5586529557017,29.878010704191833,CEP,T2CEP,1,1.0249374385697272,0.6198525394283527,1822.5586529557017,29.878010704191833,41.29399991830916,0.5980821062203048,1926.938177972918,31.589150458572426,36.998366075023014,0.5929991273207752,1951.3049988406437,31.988606538371208,0.505467430465631,0.5686220737310235,2068.176912498427,33.90453954915454,1.0219974858979843,0.558449836875564,2116.951274985103,34.70411926205087,0.9737795401186226,0.5474750898342448,2169.568062792585,35.5666895539768,0.9711370285607287,0.4945941994636555,2423.096390915718,39.72289165435603,0.9764317563798925,0.47395989422143936,2522.028542164837,41.34473019942355,46.65883710626533,0.4655616272328064,2562.292917803983,42.00480193121284,0.5047658375231563,0.46121234200369793,2583.146525774258,42.346664356955046
0,1.2078683419855945,['zg' 'zr'],[19.32951816 18.22921824],5.20187928499787,"[ 0.13454382  0.29539214 -0.33132572  0.02539147  0.03169202 -0.02854019
 -0.02539147 -0.03169202  0.02854019]",456215755510110208,0.7784448477462087,-0.42942349423938575,475,1456.9873902774816,3.0673418742683825,RR,RRAB,1,1.2078683419855945,0.9434511980034695,1456.9873902774816,3.0673418742683825,5.725147848587341,0.6620398281727978,8707.622061892096,18.331835919772836,0.5462883673685043,0.6237073518266625,9695.268189370767,20.41109092499109,0.5469719184295132,0.6102407367188015,10042.238523087784,21.141554785447966,0.35325730808202876,0.5974891375907574,10370.788021162938,21.833237939290395,0.8511352446232536,0.5596644784082081,11345.349154137777,23.88494558765848,5.802200647639669,0.5560361715799748,11438.8340889285,24.08175597669158,1.211105720595196,0.2686032275146696,18844.610418782664,39.67286403954245,0.45925804166084866,0.23700657519175863,19658.7072633372,41.386752133341474,0.2610223342123149,0.23661404813947165,19668.820928762565,41.40804406055277
0,9.637689043048619,['zg' 'zr'],[14.74170033 13.80465746],0.6519389948269251,"[-0.0174733   0.09548459 -0.08912703 -0.00739991  0.00852971 -0.00543836
  0.00739991 -0.00852971  0.00543836]",5651934489159093504,9.601397295441018,-0.03629174760760101,109,1697.8680970451044,15.576771532523894,CEP,T2CEP,1,9.637689043048619,0.7420244722263392,1697.8680970451044,15.576771532523894,0.9037098720850846,0.7371822539054098,1729.7374748299596,15.869151145228987,1.1123655322353976,0.6930462825338567,2020.2179531838267,18.534109662236943,0.4740775958333478,0.6711903795042174,2164.0633670718853,19.853792358457664,0.5258589157513753,0.6009320366835111,2626.468160560129,24.09603817027641,0.3213176472562996,0.5490920893267227,2967.6531125332704,27.22617534434193,0.34431156057672035,0.4676001026730412,3503.9938659036497,32.146732714712385,0.4747017268653212,0.4397174443287614,3687.5050747518876,33.83032178671456,0.9061476225428894,0.43824398026699335,3697.202063831726,33.91928498928189,0.3215986244817268,0.42743924741758565,3768.3136357955195,34.57168473206899
0,5.1800943459857525,['zg' 'zr'],[14.49305102 13.40753375],1.2129480444788925,"[ 0.01191172 -0.05766743 -0.19040664  0.01105895 -0.01148026 -0.02395947
 -0.01105895  0.01148026  0.02395947]",5654982747708173568,5.17573057101708,-0.004363774968672907,86,3306.210828357703,38.44431195764771,CEP,T2CEP,1,5.1800943459857525,0.6883426586780026,3306.210828357703,38.44431195764771,1.2349088864481983,0.6603387454792697,3603.288772491946,41.89870665688309,0.8362019802420502,0.6481191950276057,3732.9198603184614,43.40604488742397,0.5516996591656919,0.5866045445619877,4385.493841162084,50.99411443211726,0.45480895647741765,0.5332192144071252,4951.832832124387,57.57945153633008,0.35519469512952895,0.47555183944128027,5563.593390019289,64.69294639557312,0.3123475322209285,0.369056830282297,6693.349061119515,77.82964024557576,5.413166667886766,0.3629384302123665,6758.259979849884,78.58441837034749,0.842091197702955,0.36034863305226905,6785.733015107822,78.90387226869561,0.3562481819824435,0.35671211989592266,6824.298769133487,79.35231126899404
0,26.585848968328538,['zg' 'zr'],[13.27515024 12.28463113],0.23633570305257823,"[-0.00430017  0.10218153 -0.01740352  0.00271943  0.00362585  0.00161416
 -0.00271943 -0.00362585 -0.00161416]",5679054763795183616,26.649332806043912,0.06348383771537414,60,146.33439820576268,2.4389066367627112,CEP,T2CEP,1,26.585848968328538,0.9270330406016792,146.33439820576268,2.4389066367627112,0.9611715721205182,0.8940345320048844,212.51260173405,3.5418766955675003,1.0361025584396648,0.8938535547668666,212.87539588859119,3.547923264809853,0.48942794717458493,0.7968028281349362,407.50964471238694,6.791827411873116,0.5081515913760557,0.7936355451606878,413.86146910947036,6.897691151824506,0.3282984305649858,0.6409741389991743,720.0221924526813,12.000369874211355,0.3366219573698838,0.6367058176130348,728.5821407033801,12.14303567838967,1.0391586840843774,0.5290504603262236,944.4840002282585,15.741400003804308,0.5088799762342737,0.5179833141755678,966.6788393711755,16.11131398951959,24.73031692839419,0.48504111359940055,1032.7443322136933,17.212405536894888
0,9.880988306931044,['zg' 'zi' 'zr'],[13.58450019 12.31044741 12.70282603],0.6358863214899495,"[-0.01039841  0.09962737  0.15610587  0.01641996  0.0188611   0.01023605
 -0.01142696 -0.02030683 -0.00663018 -0.004993    0.00144574 -0.00360587]",4559635520223408768,9.895188607654005,0.01420030072296008,286,8554.818587041227,29.911953101542753,CEP,T2CEP,1,9.880988306931044,0.7815657719297455,8554.818587041227,29.911953101542753,0.9058303377867021,0.5805528067273766,16427.34654950428,57.438274648616364,1.1092178653344342,0.5692999404700139,16868.06010177941,58.979231125102835,0.5258896161816601,0.5317659040083301,18338.041380649953,64.11902580646837,1.1126105412578775,0.44898344486681896,21580.15652313635,75.45509273823899,0.47529024892823096,0.41770756634746375,22805.009154979045,79.73779424817847,0.3443185229206358,0.3465574887078608,25591.539233647643,89.48090641135539,0.9080440023170048,0.3262517342336826,26386.869726468623,92.2617822603798,0.3218865727338621,0.3073103981141757,27128.53261103753,94.85500912950187,0.47467818281124796,0.22557273668795275,30329.854643453265,106.04844280927715
0,7.546534392106486,['zg' 'zi' 'zr'],[13.39906312 12.17435798 12.55252704],0.8325921516705289,"[-0.00345475 -0.06940041  0.01231819  0.00919576  0.00697238 -0.00690909
  0.00165649 -0.01570699  0.01341938 -0.01085225  0.00873461 -0.00651029]",4563743467462826240,7.533244703901676,-0.013289688204809913,253,6149.049307118164,24.304542715882068,CEP,T2CEP,1,7.546534392106486,0.4057708160999053,6149.049307118164,24.304542715882068,0.8808140624093375,0.32722364623599365,6961.851105998996,27.517198047426863,0.46843435870095407,0.31328250484191034,7106.118173378485,28.087423610191642,1.149129909063122,0.29555591021330174,7289.55069522421,28.812453340807156,7.611083345157872,0.26520337736209454,7603.623161723537,30.053846489025837,0.5347182783425202,0.24643189486025474,7797.883674566223,30.821674603028548,0.8830445290641286,0.23650547135003647,7900.597162377773,31.227656768291595,1.1528744552321695,0.2342891660523951,7923.5232767953,31.3182738213253,0.8817546065234079,0.22758718603101713,7992.879181160316,31.592407830673185,0.3187243214674826,0.21122453818618558,8162.207390873767,32.261689291991175
0,7.561416839354337,['zg' 'zi' 'zr'],[14.68309339 13.93007794 14.1343342 ],0.8309534364615325,"[ 0.00542069  0.05455001 -0.0739508   0.00456068  0.03057471 -0.00700521
  0.00150316 -0.02204782  0.00977853 -0.00606383 -0.00852688 -0.00277331]",4564531233184753536,7.5670939315684596,0.005677092214122936,317,1110.1000401087676,3.5018928710055763,CEP,T2CEP,1,7.561416839354337,0.928610968824368,1110.1000401087676,3.5018928710055763,1.148765378370938,0.7798723952382801,3423.0222086682656,10.798177314410932,0.8810512175606467,0.6926866210525735,4778.792686351709,15.075055792907598,0.4683879154065789,0.6511038272106395,5425.411783097788,17.114863669078197,0.534620269169146,0.585528331201442,6445.122429688021,20.331616497438553,0.8832072503015769,0.5266597823415695,7360.554414416411,23.219414556518647,0.3187012157095512,0.4935585867648235,7875.280916793053,24.84315746622414,0.34803808510782824,0.4821409553063483,8052.805566046735,25.403172132639543,1.1524078823560788,0.44523475658754846,8626.7312611793,27.21366328447729,0.5338247165598001,0.3529751350601009,10061.388715005069,31.739396577303054
