,N_I,N_V,Name,Nobs,OGLE period,Outliers1,Outliers3,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
23,119.0,119.0,OGLE-BLG-RRLYR-00002,"(50.0, inf]",0.30153381,,,,,,,,,,,,0.001
24,119.0,119.0,OGLE-BLG-RRLYR-00002,"(10.0, 20.0]",0.30153381,0.2727272727272727,0.2727272727272727,0.2602586888029603,17.204545454545453,0.02224220324141613,0.301525260704351,0.14748439846789305,0.30153074219457987,0.012758832641967978,0.08463252127269336,0.008208090198047325,0.004
25,119.0,119.0,OGLE-BLG-RRLYR-00002,"(20.0, 30.0]",0.30153381,0.33962264150943394,0.11320754716981132,0.2798375002890968,24.60377358490566,4.397057876110897e-06,0.30152600607489116,0.30152392888497703,0.3015304846527042,0.008471052954133756,0.06167019638400811,0.004201845647776701,0.004
26,119.0,119.0,OGLE-BLG-RRLYR-00002,"(30.0, 50.0]",0.30153381,0.36363636363636365,0.0,0.2359445742450765,30.5,0.10853900371425458,0.3015242090294762,0.10097168040559032,0.3015304846527042,0.019245695296632927,0.09027031252808673,0.00029830570763988463,0.004
27,119.0,119.0,OGLE-BLG-RRLYR-00002,"(50.0, inf]",0.30153381,,,,,,,,,,,,0.004
28,119.0,119.0,OGLE-BLG-RRLYR-00002,"(10.0, 20.0]",0.30153381,0.28888888888888886,0.26666666666666666,0.28704186731806774,17.42222222222222,4.64979098013804e-06,0.30152879180159087,0.22723057035299665,0.3015318294070409,0.01784051265503669,0.1196777971503219,0.014214362198329824,0.02
29,119.0,119.0,OGLE-BLG-RRLYR-00002,"(20.0, 30.0]",0.30153381,0.3469387755102041,0.1836734693877551,0.28936383552964545,24.459183673469386,4.220235873349974e-06,0.30152690918635544,0.3014460778836425,0.3015315354263244,0.015719507004121513,0.1100365490288506,0.012008879564694179,0.02
30,119.0,119.0,OGLE-BLG-RRLYR-00002,"(30.0, 50.0]",0.30153381,0.2,0.2,0.26295273417609705,30.5,4.4920329955116e-06,0.30152879180159087,0.11425255423210626,0.3015305979712989,0.015761068302082383,0.07880534151041191,0.007449982778296799,0.02
31,119.0,119.0,OGLE-BLG-RRLYR-00002,"(50.0, inf]",0.30153381,,,,,,,,,,,,0.02
32,119.0,119.0,OGLE-BLG-RRLYR-00002,"(10.0, 20.0]",0.30153381,0.3488372093023256,0.046511627906976744,0.2851591842398808,17.406976744186046,0.12433694903934929,0.3015253944116628,0.12948819636138414,0.3015312382452002,0.03448960965352163,0.22616349503014088,0.034768569249169476,0.089
33,119.0,119.0,OGLE-BLG-RRLYR-00002,"(20.0, 30.0]",0.30153381,0.2553191489361702,0.19148936170212766,0.26167256106662656,23.861702127659573,0.02604536830591113,0.30152690918635544,0.13379935181259262,0.30153112335739185,0.010733498655405144,0.0735851594353267,0.006209575549594835,0.089
34,119.0,119.0,OGLE-BLG-RRLYR-00002,"(30.0, 50.0]",0.30153381,0.3103448275862069,0.2413793103448276,0.25905123501639254,30.5,4.682946172468215e-06,0.3015304846527042,0.11403622979699075,0.30153087096568276,0.014797184494820786,0.07968527718618525,0.007935273358999512,0.089
35,119.0,119.0,OGLE-BLG-RRLYR-00002,"(50.0, inf]",0.30153381,,,,,,,,,,,,0.089
36,119.0,119.0,OGLE-BLG-RRLYR-00002,"(10.0, 20.0]",0.30153381,0.3617021276595745,0.02127659574468085,0.25643467898646555,17.22340425531915,0.10470131077608963,0.3015252975033317,0.11902056164461089,0.30153213469517104,0.018387313971677213,0.12605707361894727,0.006623091894281901,0.4
37,119.0,119.0,OGLE-BLG-RRLYR-00002,"(20.0, 30.0]",0.30153381,0.30612244897959184,0.14285714285714285,0.27707352516955014,24.693877551020407,4.117798894304147e-06,0.30152879180159087,0.3015240462487888,0.30153123011418453,0.008738947329374348,0.06117263130562044,0.004263781669515725,0.4
38,119.0,119.0,OGLE-BLG-RRLYR-00002,"(30.0, 50.0]",0.30153381,0.21739130434782608,0.13043478260869565,0.2767572630947052,30.5,3.845181150876169e-06,0.30152879180159087,0.30152442490019327,0.3015304846527042,0.013636327213129518,0.06539752791093362,0.004704515856688448,0.4
39,119.0,119.0,OGLE-BLG-RRLYR-00002,"(50.0, inf]",0.30153381,,,,,,,,,,,,0.4
40,123.0,123.0,OGLE-BLG-RRLYR-00003,"(10.0, 20.0]",0.51546531,0.3548387096774194,0.12903225806451613,1.5003290474163378,16.177419354838708,0.2931315351517627,0.18647914173107158,0.10953307227709178,0.5154511992106736,0.5942056464796712,3.3083970226618877,12.232685987018474,0.001
41,123.0,123.0,OGLE-BLG-RRLYR-00003,"(20.0, 30.0]",0.51546531,0.3269230769230769,0.0,0.4407318750858851,22.384615384615383,0.21748358364753828,0.5154355116665728,0.12750044879287128,0.5154529346775956,0.03149982381114468,0.2271484598383273,0.008885708068994656,0.001
42,123.0,123.0,OGLE-BLG-RRLYR-00003,"(30.0, 50.0]",0.51546531,0.4166666666666667,0.16666666666666666,0.4488244873046708,30.5,3.965891109295751e-05,0.5154200787614577,0.36158529767532255,0.5154781045746464,0.02519936219401875,0.1511961731641125,0.026660246153136988,0.001
43,123.0,123.0,OGLE-BLG-RRLYR-00003,"(50.0, inf]",0.51546531,,,,,,,,,,,,0.001
44,123.0,123.0,OGLE-BLG-RRLYR-00003,"(10.0, 20.0]",0.51546531,0.34375,0.15625,1.4770518691119312,16.359375,0.28846160097592954,0.1718319405543066,0.10879304810233782,0.5375180149443345,0.575886674125075,3.257706979750464,11.901398271146423,0.004
45,123.0,123.0,OGLE-BLG-RRLYR-00003,"(20.0, 30.0]",0.51546531,0.3333333333333333,0.0,0.4248900005286784,22.392156862745097,0.26562200403310127,0.5154211581707036,0.1119273810138969,0.5154566670646279,0.03298179168392268,0.2355371047558436,-0.007969229388472082,0.004
46,123.0,123.0,OGLE-BLG-RRLYR-00003,"(30.0, 50.0]",0.51546531,0.4166666666666667,0.0,0.3903021137743428,30.5,0.16422305875910162,0.5154219418945618,0.14497818075437155,0.5154547174217863,0.02742755454326692,0.16456532725960152,0.015015234548473682,0.004
